L 01/23/2015 - 06:25:40: SourceMod log file session started (file "L20150123.log") (Version "1.6.3")
L 01/23/2015 - 06:25:40: [basecommands.smx] "peterpacz1<1508><STEAM_0:1:40949914><>" changed map to "pl_alpen_rc1"
L 01/23/2015 - 06:25:43: [SM] Changed map to "pl_alpen_rc1"
L 01/23/2015 - 06:25:45: -------- Mapchange to pl_alpen_rc1 --------
L 01/23/2015 - 07:25:00: -------- Mapchange to cp_snowplow_rc3 --------
L 01/23/2015 - 07:40:30: -------- Mapchange to pl_metropolis_b5 --------
L 01/23/2015 - 08:09:41: -------- Mapchange to cp_snowplow_rc3 --------
L 01/23/2015 - 08:24:13: -------- Mapchange to ctf_freezers_v2 --------
L 01/23/2015 - 09:05:37: -------- Mapchange to cp_castle4 --------
L 01/23/2015 - 09:17:43: -------- Mapchange to pl_waste_v2 --------
L 01/23/2015 - 09:44:39: -------- Mapchange to pl_boundary_final1 --------
L 01/23/2015 - 10:17:10: -------- Mapchange to ctf_mach4 --------
L 01/23/2015 - 10:29:24: -------- Mapchange to pl_nat20_b2b --------
L 01/23/2015 - 10:46:44: -------- Mapchange to koth_highpass_b2 --------
L 01/23/2015 - 10:55:04: -------- Mapchange to pl_cottage_b4 --------
L 01/23/2015 - 11:22:05: -------- Mapchange to koth_probed_b6 --------
L 01/23/2015 - 11:27:26: -------- Mapchange to plr_frostfell_a10 --------
L 01/23/2015 - 11:51:21: -------- Mapchange to cp_forest_shrine_a15 --------
L 01/23/2015 - 12:07:52: -------- Mapchange to pl_woodland_final --------
L 01/23/2015 - 12:30:07: -------- Mapchange to pl_stroika_b2 --------
L 01/23/2015 - 12:49:55: -------- Mapchange to cp_dusk_rc1 --------
L 01/23/2015 - 13:08:14: -------- Mapchange to koth_railbridge_rc2 --------
L 01/23/2015 - 13:15:55: -------- Mapchange to cp_dusk_rc1 --------
L 01/23/2015 - 13:25:33: -------- Mapchange to push_desolation_rc1 --------
L 01/23/2015 - 13:37:28: -------- Mapchange to cp_hella_a11a --------
L 01/23/2015 - 13:55:43: -------- Mapchange to cp_dusk_rc1 --------
L 01/23/2015 - 14:36:32: -------- Mapchange to cp_edifice_test2 --------
L 01/23/2015 - 15:03:30: -------- Mapchange to pl_beerbowl_b6c --------
L 01/23/2015 - 15:25:53: -------- Mapchange to pl_angkor_rc1 --------
L 01/23/2015 - 16:05:00: -------- Mapchange to pl_great_heights_b3 --------
L 01/23/2015 - 16:20:02: -------- Mapchange to koth_arctic_b3 --------
L 01/23/2015 - 16:33:17: -------- Mapchange to koth_quarry_rc5 --------
L 01/23/2015 - 18:38:41: -------- Mapchange to cp_aqua --------
L 01/23/2015 - 19:11:54: -------- Mapchange to ctf_haarp --------
L 01/23/2015 - 19:43:19: -------- Mapchange to plr_hysteria_b2 --------
L 01/23/2015 - 20:02:24: -------- Mapchange to koth_arctic_b3 --------
L 01/23/2015 - 20:42:18: -------- Mapchange to koth_basalt_rc2 --------
L 01/23/2015 - 21:33:06: -------- Mapchange to koth_brazil_rc1 --------
