L 02/21/2015 - 02:57:18: SourceMod log file session started (file "L20150221.log") (Version "1.6.3")
L 02/21/2015 - 02:57:18: [basecommands.smx] "peterpacz1<75><STEAM_0:1:40949914><>" changed map to "pl_borneo_rc3"
L 02/21/2015 - 02:57:21: [SM] Changed map to "pl_borneo_rc3"
L 02/21/2015 - 02:57:23: -------- Mapchange to pl_borneo_rc3 --------
L 02/21/2015 - 03:26:45: -------- Mapchange to pl_pier_b16 --------
L 02/21/2015 - 04:22:32: -------- Mapchange to pl_problematique_a3 --------
L 02/21/2015 - 05:41:31: -------- Mapchange to pl_quagmire --------
L 02/21/2015 - 07:08:52: -------- Mapchange to pl_repository_rc3 --------
L 02/21/2015 - 08:37:27: -------- Mapchange to pl_waste_v2 --------
L 02/21/2015 - 09:06:29: -------- Mapchange to cp_croissant_final --------
L 02/21/2015 - 10:28:36: -------- Mapchange to cp_desertion_rc1 --------
L 02/21/2015 - 11:19:53: -------- Mapchange to cp_desolation_rc1 --------
L 02/21/2015 - 12:03:18: -------- Mapchange to cp_drag_rc1 --------
L 02/21/2015 - 14:29:29: -------- Mapchange to cp_dusk_rc1 --------
L 02/21/2015 - 15:58:38: -------- Mapchange to cp_edifice_test2 --------
L 02/21/2015 - 22:27:41: -------- Mapchange to cp_erosion_rc2 --------
